file,distance_m,max_speed_mps,anomalies
route_2017-10-17_6.24pm.gpx,4816.97,38.396,2
route_2017-10-18_7.30pm.gpx,5327.96,16.221,2
route_2017-10-19_7.14pm.gpx,3978.27,10.426,0
route_2017-10-20_2.10pm.gpx,4857.42,21.873,2
route_2017-10-21_3.40pm.gpx,4095.39,9.65,0
route_2017-10-26_5.58pm.gpx,3982.62,15.287,3
route_2017-10-27_5.37pm.gpx,5228.2,22.049,6
route_2017-10-28_1.53pm.gpx,4513.94,26.456,4
route_2017-11-04_5.54pm.gpx,4235.53,13.022,1
route_2017-11-12_3.33pm.gpx,9378.2,11.625,2
route_2017-11-13_5.56pm.gpx,10069.98,26.137,6
route_2017-11-14_3.49pm.gpx,6955.23,10.936,0
route_2017-11-15_6.29pm.gpx,3568.91,10.399,0
route_2017-11-16_5.59pm.gpx,3959.61,9.515,0
route_2017-11-18_10.33am.gpx,3766.58,24.095,5
route_2017-11-19_5.35pm.gpx,3949.29,12.706,2
route_2017-11-20_4.00pm.gpx,3233.2,12.01,1
route_2017-11-21_3.57pm.gpx,3759.0,20.256,4
route_2017-11-23_9.11am.gpx,6818.79,21.465,3
route_2017-11-24_3.07pm.gpx,7624.26,13.299,1
route_2017-11-25_1.44pm.gpx,4041.78,20.94,3
route_2017-11-26_1.59pm.gpx,7599.96,13.889,7
route_2017-11-26_5.44pm.gpx,3996.78,11.59,1
route_2017-11-27_4.38pm.gpx,8113.13,19.926,2
route_2017-11-28_2.03pm.gpx,6864.97,23.272,3
route_2017-11-29_3.13pm.gpx,6512.57,11.064,0
route_2017-11-30_2.16pm.gpx,6310.1,12.303,1
route_2017-11-30_5.57pm.gpx,4493.56,5.787,0
route_2017-11-30_7.51pm.gpx,2013.35,2.171,0
route_2017-12-03_5.04pm.gpx,3725.15,12.061,1
route_2017-12-04_3.03pm.gpx,7462.11,15.236,3
route_2017-12-05_12.42pm.gpx,7428.07,14.07,3
route_2017-12-06_3.56pm.gpx,6875.46,23.065,3
route_2017-12-07_1.35pm.gpx,8872.94,10.481,0
route_2017-12-08_3.12pm.gpx,6233.08,9.493,0
route_2017-12-10_10.35am.gpx,5722.39,6.779,0
route_2017-12-10_6.21pm.gpx,486.08,7.403,0
route_2017-12-11_12.32pm.gpx,11.49,3.781,0
route_2017-12-13_4.17pm.gpx,7314.22,25.57,3
route_2017-12-14_3.16pm.gpx,6795.26,22.976,2
route_2017-12-14_3.32pm.gpx,266.03,15.305,1
route_2017-12-15_11.31am.gpx,5935.62,19.268,3
route_2017-12-15_11.50am.gpx,353.49,27.363,1
route_2017-12-18_5.35pm.gpx,6228.65,11.044,0
route_2017-12-18_5.50pm.gpx,272.63,15.793,1
route_2017-12-19_6.19pm.gpx,5694.87,8.189,0
route_2017-12-19_6.28pm.gpx,223.15,10.567,0
route_2017-12-20_5.15pm.gpx,6350.41,17.279,1
route_2017-12-20_5.32pm.gpx,349.29,15.976,2
route_2017-12-21_4.32pm.gpx,6317.38,14.039,2
route_2017-12-21_4.47pm.gpx,389.16,8.251,0
route_2017-12-22_6.00pm.gpx,3294.38,14.666,2
route_2017-12-24_2.57pm.gpx,6553.32,28.311,5
route_2017-12-24_3.08pm.gpx,185.66,21.683,1
route_2017-12-25_4.33pm.gpx,3864.46,13.566,3
route_2017-12-26_5.47pm.gpx,4399.1,12.383,2
route_2017-12-26_6.04pm.gpx,553.86,6.985,0
route_2017-12-26_6.21pm.gpx,33.67,2.681,0
route_2017-12-27_6.10pm.gpx,4467.77,15.011,1
route_2017-12-28_10.45am.gpx,4909.66,11.277,0
route_2017-12-28_11.24am.gpx,1574.86,26.488,4
route_2017-12-29_4.04pm.gpx,9686.17,28.245,3
route_2017-12-30_1.23pm.gpx,9006.72,10.137,0
route_2017-12-31_3.54pm.gpx,8029.04,13.468,2
route_2018-01-01_2.14pm.gpx,7426.65,45.302,3
route_2018-01-02_5.19pm.gpx,4474.27,17.753,3
route_2018-01-03_11.20am.gpx,109.94,0.405,0
route_2018-01-03_5.07pm.gpx,613.47,16.008,1
route_2018-01-04_5.53pm.gpx,525.08,12.69,1
route_2018-01-19_10.46am.gpx,734.12,7.872,0
route_2018-01-27_3.58pm.gpx,2768.11,14.499,3
route_2018-02-04_1.58pm.gpx,6296.37,17.063,2
route_2018-02-04_3.01pm.gpx,2339.72,17.458,1
route_2018-02-13_10.46am.gpx,6933.59,14.811,1
route_2018-02-15_12.04pm.gpx,8651.12,6.339,0
route_2018-02-16_1.55pm.gpx,1308.1,18.684,2
route_2018-02-16_6.49pm.gpx,1686.31,8.51,0
route_2018-02-18_1.44pm.gpx,4925.87,29.882,7
route_2018-02-18_2.48pm.gpx,5481.0,14.268,7
